beta,gamma,t,S,I,R,dS_dt,dI_dt,dR_dt
0.15682884655830956,0.027140124165814954,76.64428274167399,0.023400000000000004,0.36258713643423934,0.6140128635657606,-0.001578225798355615,-0.008354544546672144,0.00993277034502775
0.15682884655830956,0.027140124165814954,79.71005405134096,0.01889408639710724,0.3368612134627957,0.644244700140097,-0.0012394923222152515,-0.007937564219747242,0.009177056541962533
0.15682884655830956,0.027140124165814954,82.77582536100792,0.0158,0.31391762312715904,0.670282376872841,-0.0009612730046957628,-0.007462389333113911,0.008423662337809681
0.15682884655830956,0.027140124165814954,85.84159667067487,0.013000000000000001,0.29110525522474495,0.695894744775255,-0.0007828372561359505,-0.007509514244625121,0.008292351500761075
0.15682884655830956,0.027140124165814954,88.90736798034183,0.011000000000000001,0.267872716485745,0.721127283514255,-0.00045202432860317536,-0.007265751131020952,0.0077177754596241405
0.15682884655830956,0.027140124165814954,91.9731392900088,0.010228393564193836,0.24655499250341634,0.7432166139323899,-0.0002935639710509811,-0.006903993088578704,0.007197557059629711
0.15682884655830956,0.027140124165814954,95.03891059967576,0.0092,0.2255405886195378,0.7652594113804623,-0.0002981947085271112,-0.006172360732611501,0.006470555441138587
0.15682884655830956,0.027140124165814954,98.10468190934272,0.0084,0.20870889960950584,0.7828911003904941,-0.0002935639710509813,-0.005708504886763315,0.006002068857814263
0.15682884655830956,0.027140124165814954,101.17045321900967,0.007400000000000001,0.19053864761367262,0.8020613523863271,-0.00031717337567236065,-0.005510861671448642,0.005828035047121011
0.15682884655830956,0.027140124165814954,104.23622452867663,0.0064552379293469145,0.17491881640176474,0.8186259456688884,-0.0002935639710509813,-0.004929155708783484,0.005222719679834481
0.15682884655830956,0.027140124165814954,107.3019958383436,0.005599999999999999,0.16031531930793358,0.8340846806920664,-0.00017209990941260728,-0.00450696407458924,0.004679063984001891
0.15682884655830956,0.027140124165814954,110.36776714801056,0.0054,0.1472841740946139,0.8473158259053861,-0.00019570931403398758,-0.0037861320893873493,0.003981841403421338
